 x	data2	data1	
5.41	0.0315958	0.341662	
5.42	0.0316274	0.34012	
5.43	0.031659	0.338551	
5.44	0.0316907	0.336954	
5.45	0.0317224	0.335331	
5.46	0.0317541	0.333682	
5.47	0.0317859	0.332009	
5.48	0.0318177	0.33031	
5.49	0.0318495	0.328588	
5.5	0.0318814	0.326842	
5.51	0.0319133	0.325074	
5.52	0.0319452	0.323284	
5.53	0.0319772	0.321473	
5.54	0.0320092	0.319641	
5.55	0.0320412	0.317789	
5.56	0.0320733	0.315917	
5.57	0.0321054	0.314027	
5.58	0.0321375	0.312119	
5.59	0.0321696	0.310193	
5.6	0.0322018	0.30825	
5.61	0.032234	0.306292	
5.62	0.0322663	0.304317	
5.63	0.0322986	0.302328	
5.64	0.0323309	0.300325	
5.65	0.0323632	0.298308	
5.66	0.0323956	0.296278	
5.67	0.032428	0.294236	
5.68	0.0324605	0.292182	
5.69	0.0324929	0.290117	
5.7	0.0325255	0.288041	
5.71	0.032558	0.285956	
5.72	0.0325906	0.283861	
5.73	0.0326232	0.281758	
5.74	0.0326558	0.279646	
5.75	0.0326885	0.277528	
5.76	0.0327212	0.275402	
5.77	0.0327539	0.27327	
5.78	0.0327867	0.271132	
5.79	0.0328195	0.268989	
5.8	0.0328523	0.266842	
5.81	0.0328852	0.26469	
5.82	0.0329181	0.262535	
5.83	0.032951	0.260377	
5.84	0.032984	0.258217	
5.85	0.033017	0.256054	
5.86	0.03305	0.253891	
5.87	0.0330831	0.251726	
5.88	0.0331162	0.249561	
5.89	0.0331493	0.247396	
5.9	0.0331825	0.245232	
5.91	0.0332157	0.243068	
5.92	0.0332489	0.240907	
5.93	0.0332822	0.238747	
5.94	0.0333155	0.236589	
5.95	0.0333488	0.234435	
5.96	0.0333822	0.232284	
5.97	0.0334156	0.230136	
5.98	0.033449	0.227993	
5.99	0.0334825	0.225854	
6	0.033516	0.22372	
6.01	0.0335495	0.221591	
6.02	0.0335831	0.219468	
6.03	0.0336167	0.217351	
6.04	0.0336503	0.21524	
6.05	0.033684	0.213136	
6.06	0.0337177	0.211039	
6.07	0.0337514	0.20895	
6.08	0.0337852	0.206868	
6.09	0.033819	0.204795	
6.1	0.0338528	0.202729	
6.11	0.0338867	0.200673	
6.12	0.0339206	0.198625	
6.13	0.0339546	0.196586	
6.14	0.0339885	0.194557	
6.15	0.0340225	0.192537	
