 x	data2	data1	
5.93	0.667178	0.198611	
5.94	0.666845	0.196234	
5.95	0.666512	0.193879	
5.96	0.666178	0.191545	
5.97	0.665844	0.189233	
5.98	0.66551	0.186943	
5.99	0.665175	0.184673	
6	0.66484	0.182426	
6.01	0.664505	0.180199	
6.02	0.664169	0.177994	
6.03	0.663833	0.17581	
6.04	0.663497	0.173647	
6.05	0.66316	0.171505	
6.06	0.662823	0.169384	
6.07	0.662486	0.167284	
6.08	0.662148	0.165205	
6.09	0.66181	0.163147	
6.1	0.661472	0.161109	
6.11	0.661133	0.159092	
6.12	0.660794	0.157095	
6.13	0.660454	0.155119	
6.14	0.660115	0.153164	
6.15	0.659775	0.151228	
6.16	0.659434	0.149313	
6.17	0.659094	0.147418	
6.18	0.658752	0.145542	
6.19	0.658411	0.143687	
6.2	0.658069	0.141851	
6.21	0.657727	0.140035	
6.22	0.657385	0.138238	
6.23	0.657042	0.136461	
6.24	0.656699	0.134703	
6.25	0.656355	0.132964	
6.26	0.656012	0.131244	
6.27	0.655667	0.129544	
6.28	0.655323	0.127862	
6.29	0.654978	0.126198	
6.3	0.654633	0.124553	
6.31	0.654287	0.122927	
6.32	0.653941	0.121319	
6.33	0.653595	0.119729	
6.34	0.653249	0.118157	
6.35	0.652902	0.116603	
6.36	0.652554	0.115067	
6.37	0.652207	0.113548	
6.38	0.651859	0.112047	
6.39	0.651511	0.110563	
6.4	0.651162	0.109097	
6.41	0.650813	0.107647	
6.42	0.650463	0.106215	
6.43	0.650114	0.104799	
6.44	0.649764	0.1034	
6.45	0.649413	0.102018	
6.46	0.649063	0.100652	
6.47	0.648711	0.0993024	
6.48	0.64836	0.0979688	
6.49	0.648008	0.0966512	
6.5	0.647656	0.0953495	
6.51	0.647303	0.0940634	
6.52	0.646951	0.092793	
6.53	0.646597	0.0915379	
6.54	0.646244	0.0902981	
6.55	0.64589	0.0890735	
6.56	0.645536	0.0878639	
6.57	0.645181	0.0866692	
6.58	0.644826	0.0854891	
6.59	0.644471	0.0843237	
6.6	0.644115	0.0831727	
6.61	0.643759	0.082036	
6.62	0.643402	0.0809135	
6.63	0.643046	0.079805	
6.64	0.642688	0.0787103	
6.65	0.642331	0.0776295	
6.66	0.641973	0.0765622	
6.67	0.641615	0.0755084	
6.68	0.641256	0.0744679	
6.69	0.640897	0.0734407	
6.7	0.640538	0.0724265	
6.71	0.640178	0.0714252	
6.72	0.639818	0.0704367	
6.73	0.639458	0.0694609	
6.74	0.639097	0.0684976	
6.75	0.638736	0.0675467	
6.76	0.638375	0.066608	
6.77	0.638013	0.0656815	
6.78	0.637651	0.064767	
6.79	0.637288	0.0638643	
6.8	0.636925	0.0629734	
6.81	0.636562	0.062094	
6.82	0.636199	0.0612262	
6.83	0.635835	0.0603697	
6.84	0.63547	0.0595244	
6.85	0.635106	0.0586902	
6.86	0.63474	0.057867	
6.87	0.634375	0.0570546	
6.88	0.634009	0.0562529	
6.89	0.633643	0.0554619	
6.9	0.633277	0.0546813	
6.91	0.63291	0.0539111	
6.92	0.632542	0.0531511	
6.93	0.632175	0.0524013	
6.94	0.631807	0.0516614	
6.95	0.631438	0.0509315	
6.96	0.63107	0.0502113	
6.97	0.6307	0.0495007	
6.98	0.630331	0.0487997	
6.99	0.629961	0.0481081	
7	0.629591	0.0474259	
7.01	0.62922	0.0467528	
7.02	0.628849	0.0460888	
7.03	0.628478	0.0454338	
7.04	0.628106	0.0447877	
7.05	0.627734	0.0441503	
7.06	0.627362	0.0435216	
7.07	0.626989	0.0429015	
7.08	0.626616	0.0422898	
7.09	0.626242	0.0416864	
7.1	0.625868	0.0410913	
7.11	0.625494	0.0405043	
7.12	0.625119	0.0399253	
7.13	0.624744	0.0393543	
7.14	0.624369	0.0387911	
7.15	0.623993	0.0382357	
7.16	0.623617	0.0376879	
7.17	0.62324	0.0371476	
7.18	0.622863	0.0366148	
7.19	0.622486	0.0360894	
7.2	0.622108	0.0355712	
7.21	0.62173	0.0350602	
7.22	0.621352	0.0345562	
7.23	0.620973	0.0340593	
7.24	0.620594	0.0335692	
7.25	0.620214	0.033086	
7.26	0.619834	0.0326095	
7.27	0.619454	0.0321396	
7.28	0.619073	0.0316762	
7.29	0.618692	0.0312194	
7.3	0.61831	0.0307689	
7.31	0.617928	0.0303247	
7.32	0.617546	0.0298867	
7.33	0.617163	0.0294548	
7.34	0.61678	0.029029	
7.35	0.616397	0.0286092	
7.36	0.616013	0.0281953	
7.37	0.615629	0.0277872	
7.38	0.615244	0.0273848	
7.39	0.61486	0.0269881	
7.4	0.614474	0.026597	
7.41	0.614088	0.0262114	
7.42	0.613702	0.0258312	
7.43	0.613316	0.0254565	
7.44	0.612929	0.025087	
7.45	0.612542	0.0247227	
7.46	0.612154	0.0243636	
7.47	0.611766	0.0240096	
7.48	0.611378	0.0236606	
7.49	0.610989	0.0233165	
7.5	0.6106	0.0229774	
7.51	0.61021	0.022643	
7.52	0.60982	0.0223134	
7.53	0.60943	0.0219885	
7.54	0.609039	0.0216683	
7.55	0.608648	0.0213526	
7.56	0.608256	0.0210413	
7.57	0.607864	0.0207346	
7.58	0.607472	0.0204322	
7.59	0.607079	0.0201341	
7.6	0.606686	0.0198403	
7.61	0.606293	0.0195507	
7.62	0.605899	0.0192652	
7.63	0.605504	0.0189839	
7.64	0.60511	0.0187065	
7.65	0.604715	0.0184331	
7.66	0.604319	0.0181637	
7.67	0.603923	0.0178981	
7.68	0.603527	0.0176363	
7.69	0.60313	0.0173783	
7.7	0.602733	0.017124	
7.71	0.602336	0.0168734	
7.72	0.601938	0.0166264	
7.73	0.60154	0.0163829	
7.74	0.601141	0.0161429	
7.75	0.600742	0.0159064	
7.76	0.600342	0.0156733	
7.77	0.599943	0.0154435	
7.78	0.599542	0.0152171	
7.79	0.599142	0.014994	
7.8	0.598741	0.014774	
7.81	0.598339	0.0145573	
7.82	0.597937	0.0143437	
7.83	0.597535	0.0141331	
7.84	0.597132	0.0139256	
7.85	0.596729	0.0137212	
7.86	0.596326	0.0135196	
7.87	0.595922	0.013321	
7.88	0.595518	0.0131253	
7.89	0.595113	0.0129324	
7.9	0.594708	0.0127423	
7.91	0.594302	0.012555	
7.92	0.593896	0.0123704	
7.93	0.59349	0.0121885	
7.94	0.593083	0.0120092	
7.95	0.592676	0.0118325	
7.96	0.592269	0.0116584	
7.97	0.591861	0.0114868	
7.98	0.591453	0.0113178	
7.99	0.591044	0.0111511	
8	0.590635	0.0109869	
8.01	0.590225	0.0108251	
8.02	0.589815	0.0106657	
8.03	0.589405	0.0105086	
8.04	0.588994	0.0103537	
8.05	0.588583	0.0102012	
8.06	0.588171	0.0100508	
8.07	0.587759	0.00990266	
8.08	0.587347	0.00975667	
8.09	0.586934	0.0096128	
8.1	0.58652	0.00947104	
8.11	0.586107	0.00933135	
8.12	0.585693	0.00919371	
8.13	0.585278	0.00905807	
8.14	0.584863	0.00892442	
8.15	0.584448	0.00879272	
8.16	0.584032	0.00866294	
8.17	0.583616	0.00853507	
8.18	0.583199	0.00840907	
8.19	0.582782	0.00828491	
8.2	0.582365	0.00816257	
8.21	0.581947	0.00804202	
8.22	0.581529	0.00792324	
8.23	0.58111	0.0078062	
8.24	0.580691	0.00769088	
8.25	0.580271	0.00757724	
8.26	0.579852	0.00746527	
8.27	0.579431	0.00735495	
8.28	0.57901	0.00724624	
8.29	0.578589	0.00713913	
8.3	0.578168	0.00703359	
8.31	0.577746	0.0069296	
8.32	0.577323	0.00682713	
8.33	0.5769	0.00672617	
8.34	0.576477	0.0066267	
8.35	0.576053	0.00652868	
8.36	0.575629	0.00643211	
8.37	0.575204	0.00633695	
8.38	0.574779	0.0062432	
8.39	0.574354	0.00615082	
8.4	0.573928	0.0060598	
8.41	0.573502	0.00597012	
8.42	0.573075	0.00588176	
8.43	0.572648	0.0057947	
8.44	0.57222	0.00570892	
8.45	0.571792	0.0056244	
8.46	0.571364	0.00554113	
8.47	0.570935	0.00545909	
8.48	0.570506	0.00537825	
8.49	0.570076	0.0052986	
8.5	0.569646	0.00522013	
8.51	0.569215	0.00514281	
8.52	0.568784	0.00506663	
8.53	0.568353	0.00499157	
8.54	0.567921	0.00491762	
8.55	0.567489	0.00484476	
8.56	0.567056	0.00477298	
8.57	0.566623	0.00470225	
8.58	0.566189	0.00463257	
